Entity,Signed,NDC
Serbia,TRUE,0.18
Seychelles,TRUE,0.00
Sierra Leone,TRUE,0.98
Singapore,TRUE,0.13
Slovakia,TRUE,0.12
Slovenia,TRUE,0.05
Solomon Islands,TRUE,0.00
Somalia,TRUE,No data
South Africa,TRUE,1.46
South Korea,TRUE,1.85
S. Sudan,TRUE,No data
Spain,TRUE,0.87
Sri Lanka,TRUE,0.05
Sudan,TRUE,0.18
Suriname,TRUE,0.01
Sweden,TRUE,0.15
Switzerland,TRUE,0.14
Syria,TRUE,0.21
Taiwan,TRUE,No data
Tajikistan,TRUE,0.02
Tanzania,TRUE,0.11
Thailand,TRUE,0.64
Togo,TRUE,0.02
Tonga,TRUE,0.00
Trinidad and Tobago,TRUE,0.04
Tunisia,TRUE,0.11
Turkey,TRUE,1.24
Turkmenistan,TRUE,0.20
Turks and Caicos Islands,No data,No data
Tuvalu,TRUE,0.00
Uganda,TRUE,0.07
Ukraine,TRUE,1.04
United Arab Emirates,TRUE,0.53
United Kingdom,TRUE,1.55
United States of America,TRUE,17.89
Uruguay,TRUE,0.05
Uzbekistan,TRUE,0.54
Vanuatu,TRUE,0.00
Venezuela,TRUE,0.52
Vietnam,TRUE,0.72
Yemen,FALSE,No data
Zambia,TRUE,0.04
Zimbabwe,TRUE,0.18
